spot,flow,temp,pH,DO,BOD,COD,SS,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,Chla,TOC,Tcoli,Fcoli,Cl,d15N,d18O,source
우치,5.56E-05,10.3,7.1,11.1,6,7.5,21,421,2.628,2.543,1.707,0.33,0.147,0.078,0.075,48.1,6.2,41000,4600,78.773,6.81,2.41,내생부하(정체수역 유기물 축적)
광산,41.454,11.4,6.9,6.3,10.7,14,28.2,412,9.069,8.582,1.16,7.048,0.403,0.249,0.232,40,11.9,210000,96000,65.965,1.07,-1.27,화학비료(농경지)
함평,0.000355852,10.2,7.5,10.4,6.1,9,15.8,431,8.412,8.243,2.979,5.094,0.136,0.091,0.064,23.1,8,54.79882099,0,61.419,8.6,2.66,생활하수/처리수 영향
무안2,0.84447,6.9,7.8,11.2,2.6,7.9,6,6045,3.527,3.511,2.467,0.63,0.042,0.023,0.005,9.3,5,78,1,1333.496,11.25,3.53,생활하수/처리수 영향
고막원천4,0.000287412,8.6,7.3,10.8,7.4,14.1,82.5,244,5.931,5.506,3.569,0.777,0.4,0.266,0.256,30.7,11.7,0.03969083,0,58.679,5.03,0.93,내생부하(정체수역 유기물 축적)
요천3,3.601,11.6,7.1,11.5,2,5.8,8.3,295,3.363,3.347,2.556,0.09,0.049,0.03,0.014,12.2,4.7,3500,140,44.079,7.69,0.19,토양-질소 기원
오수천2,3.583,10.3,7.2,11.6,2.3,6.3,5.4,251,3.171,0.23067,0.10296,0.003751532,0.081,0.00495,0,0.608138437,5.3,1.433417724,0,28.376,8.22,2.3,생활하수/처리수 영향
죽산,0.043210151,10.1,7.4,10.7,12.5,10.4,21,430,9.313,9.157,2.592,6.067,0.12,0.071,0.048,37.1,8.7,20000,1600,60.011,8.6,1.58,생활하수/처리수 영향
황룡강5,14.295,10.6,7.9,11.5,10.6,9,39.9,322,1.976,1.82,1.137,0.218,0.086,0.022,0.005,36.4,8.3,28000,2500,46.987,6.54,4.12,내생부하(정체수역 유기물 축적)
지석천4,5.78E-05,11.2,8,12.2,10.1,12.5,28.4,251,3.346,3.094,2.39,0.098,0.186,0.115,0.111,95.8,9.2,27000,3700,25.743,9.1,2.52,생활하수/처리수 영향
나주,0.006824789,11.7,7.4,10.5,9.5,12.7,16.1,368,6.788,6.294,1.994,4.013,0.224,0.127,0.115,50.4,10.1,35000,3400,52.391,7.69,2.41,내생부하(정체수역 유기물 축적)
삼포천2,3.77E-05,11.6,7.7,10.6,5.8,14,42.4,640,8.358,8.329,5.037,2.419,0.403,0.292,0.285,28.4,11.3,57.27848773,0,117.684,8.01,1.29,생활하수/처리수 영향
우치,2.95E-05,8.8,6.3,11.7,3.5,6.9,12.9,354,2.773,2.647,1.846,0.15,0.089,0.038,0.029,39.4,5.7,4100,160,53.288,7.16,3.9,내생부하(정체수역 유기물 축적)
광산,15.251,10.4,7.2,10.8,9.1,11.4,15.4,417,7.712,7.393,1.608,4.997,0.251,0.108,0.091,93.7,9.7,2800,770,62.006,6.62,1.93,내생부하(정체수역 유기물 축적)
함평,22.37,9.9,7.5,8.4,3.9,9.5,11.5,396,7.358,7.325,2.532,4.507,0.173,0.116,0.102,12.9,7.9,410,14,57.103,8.01,3.01,생활하수/처리수 영향
무안2,81.903,7.2,8,11.7,2.6,9.5,5.8,4180,3.715,3.714,2.633,0.788,0.045,0.024,0.004,19.8,5.2,85,0,1050.809,10.97,3.63,생활하수/처리수 영향
고막원천4,1.843,7.2,6.3,12.5,3.7,7.9,15.9,247,3.84,3.57,3.228,0.051,0.152,0.066,0.063,36.9,6.7,600,16,26.947,7.31,2.66,내생부하(정체수역 유기물 축적)
요천3,2.929,10.8,8.5,14.3,1.6,5,4.5,282,3.651,3.633,3.272,0.056,0.035,0.017,0.007,10.2,4.1,350,0,39.37,6.6,2.32,토양-질소 기원
오수천2,2.705,8.3,8.1,13.1,1.5,4.6,3.8,263,2.574,2.52,2.183,0.054,0.046,0.033,0.028,5,4.1,1200,3,28.374,9.81,5.01,생활하수/처리수 영향
죽산,4.94E-05,10.2,7.8,12.8,6.1,11.3,18.9,337,6.749,6.529,2.111,3.154,0.18,0.081,0.056,118.3,9.8,1700,5300,47.616,6.93,3.97,내생부하(정체수역 유기물 축적)
황룡강5,8.44,8,6.9,11.2,5.5,7.3,17.4,302,2.907,2.773,1.517,0.573,0.096,0.043,0.021,36.2,6.8,25000,140,40.383,6.81,3.18,내생부하(정체수역 유기물 축적)
지석천4,6.721,7.3,7.2,12.2,4.3,7.7,23.9,264,6.326,6.2,4.925,0.135,0.585,0.439,0.422,22.6,7.3,43000,420,23.116,13.25,1.74,생활하수/처리수 영향
나주,0.84447,8.8,7.8,12.4,9.3,10.9,23.4,317,5.704,4.579,2.372,1.734,0.29,0.075,0.06,120.1,9.2,5500,2,44.08,5.13,1.25,내생부하(정체수역 유기물 축적)
삼포천2,5.35E-06,8.1,7.8,12,4.9,13.4,39.6,578,8.533,8.357,4.837,2.4,0.355,0.222,0.222,34.2,11.1,0.00467361,0,99.349,7.87,1.16,내생부하(정체수역 유기물 축적)
우치,0.014849582,11.1,8.9,13.3,4.5,7.3,14.3,348,2.152,1.891,1.511,0.032,0.091,0.02,0.006,79.7,5.9,2800,58,48.177,10.09,7.54,생활하수/처리수 영향
광산,8.522,11.5,7.2,12.3,9,9.4,12.1,443,8.319,8.057,1.51,6.316,0.078,0.04,0.006,82,8.4,4100,10,65.507,5.8,1.24,내생부하(정체수역 유기물 축적)
함평,15.45,10.2,7.3,9.1,3.6,8.3,9.4,342,5.704,5.639,2.327,2.834,0.118,0.088,0.067,14.2,6.9,10.73312358,0,47.325,7.24,4.15,토양-질소 기원
무안2,51.578,8,8,11.4,2.1,8.7,6,5600,3.744,3.687,2.592,0.82,0.042,0.021,0.003,11.3,5.3,310,0,1275.992,10.68,4.8,생활하수/처리수 영향
고막원천4,1.102,10.7,9.1,15.7,9.5,11.2,33.3,246,2.693,2.394,2.019,0.031,0.152,0.02,0.007,110.4,9.2,40.84427341,0,30.64,10.47,7.43,생활하수/처리수 영향
