spot,temp,pH,DO,BOD,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,TOC,Cl,d15N,d18O,source,TN/TP,TOC/TN,Cl/TN,d15N/d18O,NH3N/NO3N,NO3N/Cl
JS-1,11.2,7.3,11.8,1.2,101.0,1.144,1.121,0.96,0.019,0.022,0.009,0.004,1.3,9.589666667,3.87,1.59,토양-질소 기원,52.0,1.1363636363636365,8.382575757867134,2.4339622641509435,0.019791666666666666,0.1001077548715594
JS-2,12.2,7.1,11.9,1.3,72.0,0.997,0.962,0.824333333,0.018,0.025,0.011,0.005,1.5,5.084666667,4.2,3.13,토양-질소 기원,39.879999999999995,1.5045135406218657,5.0999665667000995,1.34185303514377,0.021835826939682904,0.1621214107013163
JS-3,11.9,7.2,12.2,1.2,85.0,1.054,1.018,0.880333333,0.02,0.022,0.01,0.003,1.4,6.730333333,4.48,2.11,토양-질소 기원,47.909090909090914,1.3282732447817835,6.385515496204933,2.123222748815166,0.022718667180128233,0.13080085182164336
JS-4,11.6,7.2,11.8,1.0,62.0,0.882,0.863,0.736,0.019,0.017,0.007,0.0,1.2,4.584,2.32,2.49,토양-질소 기원,51.882352941176464,1.3605442176870748,5.197278911564625,0.9317269076305219,0.025815217391304348,0.1605584642233857
JS-5,13.3,7.0,11.4,1.5,83.0,1.08,1.032,0.861,0.04,0.024,0.011,0.004,1.5,6.534333333,4.56,2.34,토양-질소 기원,45.0,1.3888888888888888,6.050308641666667,1.9487179487179487,0.04645760743321719,0.1317655460966059
JS-6,12.2,7.2,11.9,1.3,85.0,1.193,1.163,1.027333333,0.026,0.027,0.014,0.008,1.3,6.076333333,5.29,1.96,토양-질소 기원,44.18518518518519,1.0896898575020955,5.0933221567476945,2.6989795918367347,0.025308241409898843,0.16907126003450937
JS-7,13.2,7.0,11.4,1.0,83.0,1.13,1.102,0.941666667,0.033,0.027,0.013,0.006,1.4,6.537333333,5.16,1.99,토양-질소 기원,41.85185185185185,1.238938053097345,5.785250737168142,2.592964824120603,0.035044247775205574,0.14404446263226822
JS-8,14.0,9.4,11.9,0.5,85.0,2.235,2.125,2.054333333,0.025,0.138,0.115,0.112,1.0,6.385,12.37,1.23,생활하수/처리수 영향,16.19565217391304,0.447427293064877,2.8568232662192394,10.05691056910569,0.012169398022419177,0.3217436700078309
JS-9,15.4,9.0,10.5,0.7,89.0,1.686,1.643,1.468,0.038,0.077,0.051,0.047,1.7,6.741666667,8.4,4.9,생활하수/처리수 영향,21.896103896103895,1.0083036773428233,3.998616053973903,1.7142857142857142,0.025885558583106268,0.2177503090127194
JS-10,14.2,10.5,13.4,1.4,100.0,1.195,1.149,0.997333333,0.029,0.051,0.037,0.033,1.5,11.29766667,6.75,1.97,토양-질소 기원,23.43137254901961,1.2552301255230125,9.454114368200836,3.4263959390862944,0.0290775401166703,0.08827781542257168
