spot,temp,pH,DO,BOD,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,TOC,Cl,d15N,d18O,source
JS-1,11.2,7.3,11.8,1.2,101,1.144,1.121,0.96,0.019,0.022,0.009,0.004,1.3,9.589666667,3.87,1.59,
JS-2,12.2,7.1,11.9,1.3,72,0.997,0.962,0.824333333,0.018,0.025,0.011,0.005,1.5,5.084666667,4.2,3.13,
JS-3,11.9,7.2,12.2,1.2,85,1.054,1.018,0.880333333,0.02,0.022,0.01,0.003,1.4,6.730333333,4.48,2.11,
JS-4,11.6,7.2,11.8,1,62,0.882,0.863,0.736,0.019,0.017,0.007,0,1.2,4.584,2.32,2.49,
JS-5,13.3,7,11.4,1.5,83,1.08,1.032,0.861,0.04,0.024,0.011,0.004,1.5,6.534333333,4.56,2.34,
JS-6,12.2,7.2,11.9,1.3,85,1.193,1.163,1.027333333,0.026,0.027,0.014,0.008,1.3,6.076333333,5.29,1.96,
JS-7,13.2,7,11.4,1,83,1.13,1.102,0.941666667,0.033,0.027,0.013,0.006,1.4,6.537333333,5.16,1.99,
JS-8,14,9.4,11.9,0.5,85,2.235,2.125,2.054333333,0.025,0.138,0.115,0.112,1,6.385,12.37,1.23,
JS-9,15.4,9,10.5,0.7,89,1.686,1.643,1.468,0.038,0.077,0.051,0.047,1.7,6.741666667,8.4,4.9,
JS-10,14.2,10.5,13.4,1.4,100,1.195,1.149,0.997333333,0.029,0.051,0.037,0.033,1.5,11.29766667,6.75,1.97,
JS-11,15.6,8.2,10.6,1.3,104,2.233,2.082,1.843666667,0.068,0.167,0.11,0.108,1.7,7.500666667,8.77,6.38,
JS-12,12.5,7.6,11.1,0.5,103,1.694,1.64,1.509,0.015,0.019,0.006,0.001,1.3,5.906666667,6.9,1.1,
JS-13,14.5,8.5,10.7,1.1,103,1.977,1.924,1.709333333,0.037,0.115,0.083,0.08,1.8,7.277333333,9.17,3.61,
JS-14,13.7,9.1,11.3,1.4,125,1.876,1.82,1.574333333,0.04,0.052,0.03,0.024,2.4,9.060666667,6.52,2.88,
JS-15,14.3,7.2,10.1,1.3,104,1.74,1.671,1.445666667,0.024,0.079,0.052,0.048,1.9,7.499,8.77,3.77,
JS-16,15,7.4,10.8,1.4,163,2.316,2.231,1.875333333,0.033,0.078,0.028,0.02,3.8,11.91633333,8.74,2.49,
JS-17,14.5,7.3,9.9,1.1,107,1.786,1.676,1.477,0.018,0.07,0.047,0.044,2,7.682,8.71,4.45,
JS-18,14.3,7.3,10.4,0.6,192,1.279,1.191,1.038333333,0.024,0.019,0.007,0.002,1.8,7.108333333,5.41,2.25,
JS-19,15.8,7.5,10.3,1.3,120,1.694,1.615,1.434666667,0.016,0.069,0.043,0.039,2.2,7.887,8.2,3.53,
JS-20,16,7.8,10.7,1.4,181,1.929,1.866,1.626,0.018,0.036,0.02,0.013,2,11.57133333,8.59,3.51,
JS-21,16.6,7.9,11.1,1.8,152,2.075,1.976,1.697333333,0.078,0.071,0.041,0.038,2.6,10.875,8.75,4.05,
JS-22,15.4,8.9,13,1,156,2.227,2.165,1.967666667,0.015,0.026,0.014,0.01,1.8,14.71966667,7.48,1.74,
JS-23,16,8.2,10.7,2,182,3.57,3.514,3.103666667,0.116,0.204,0.158,0.155,2.9,12.046,6.54,12.27,
JS-24,15.2,8.9,13.8,1.8,162,2.334,2.242,1.923,0.036,0.097,0.059,0.054,3.5,10.375,7.52,3.73,
JS-25,15.8,8.4,12,1.7,158,2.278,2.232,1.914666667,0.061,0.089,0.055,0.049,2.8,10.67166667,7.69,4.36,
JS-26,14.1,7.3,11.7,1.1,155,1.492,1.427,1.167,0.013,0.04,0.019,0.012,3,10.69366667,8.29,2.86,
JS-27,18.2,9.3,12.3,1.8,155,2.415,2.341,2.040333333,0.045,0.185,0.15,0.148,2.6,10.392,6.91,5.44,
JS-28,15.3,8.6,14.7,1,235,4.085,4.026,3.882,0.025,0.048,0.033,0.026,2.3,15.652,8.3,3.67,
JS-29,14.7,7.8,10.9,1.9,145,2.162,2.141,1.821666667,0.029,0.08,0.044,0.036,3,10.05566667,7.02,4.09,
JS-30,12.3,7.3,10.4,0.6,152,2.887,2.881,2.768333333,0.012,0.025,0.014,0.009,1.5,10.09466667,9.19,2.41,
JS-31,15.3,7.4,10,1.2,156,2.207,2.164,1.898333333,0.031,0.075,0.049,0.045,2.4,10.34766667,7.59,5.01,
JS-32,13.7,7.3,8.2,1.5,196,2.498,2.445,2.124666667,0.051,0.074,0.047,0.042,2.9,15.446,9.95,3.7,
JS-33,15.6,7.2,9.6,3.3,271,3.05,2.997,2.149333333,0.447,0.117,0.052,0.047,3.6,28.462,10.21,2.8,
JS-34,14.5,7.8,9.7,1.5,154,2.23,2.155,1.889666667,0.035,0.068,0.041,0.035,2.6,10.69966667,7.58,4.32,
JS-35,14.2,7.6,7.4,2,333,4.36,4.301,3.714333333,0.088,0.146,0.095,0.09,4.9,26.26333333,12.01,5.67,
JS-36,15.1,8.5,10.8,1.6,240,2.437,2.364,2.045,0.034,0.094,0.053,0.044,3,12.32533333,8.58,4.87,
JS-1,16,6.6,10.4,1.3,105,0.941,0.883,0.711,0.023,0.022,0.015,0.004,1.5,9.155,3.78,2.01,
JS-2,16.7,6.7,10.1,1.3,72,0.946,0.915,0.752,0.022,0.023,0.012,0.003,1.6,4.715,4.27,2.37,
JS-3,16.4,6.2,10.6,1.3,87,0.99,0.923,0.761,0.028,0.024,0.013,0.003,1.6,6.377,4.5,2.29,
JS-4,16.4,6.5,10.4,1.1,63,0.673,0.638,0.497,0.029,0.02,0.012,0,1.8,4.254,2.41,2.35,
JS-5,16.9,6.3,9.8,1.3,83,0.982,0.909,0.722,0.052,0.031,0.019,0.005,2,6.103,4.56,2.99,
JS-6,17,6.5,10.5,1.7,90,1.052,1.001,0.815,0.03,0.038,0.025,0.012,1.7,5.926,5.95,2.46,
JS-7,16.9,6.2,9.5,1.3,85,1.059,0.98,0.782,0.045,0.036,0.022,0.007,2.2,6.095,5.22,3.37,
JS-8,16.2,6.8,8.8,1.3,95,2.226,2.126,1.769,0.076,0.201,0.183,0.178,1.6,6.859,9.08,4.62,
JS-9,16.9,7.4,9.6,1.7,95,1.511,1.414,1.148,0.061,0.101,0.076,0.066,2.1,6.86,9.08,4.05,
JS-10,16.9,7.6,11.4,1.4,96,0.945,0.872,0.676,0.035,0.094,0.079,0.073,2,8.802,7.47,1.41,
JS-11,17.9,7.7,9.9,2.1,109,2.297,2.206,1.713,0.147,0.266,0.236,0.23,2.4,7.77,12.43,3.41,
JS-12,16.9,8.1,9.7,0.9,116,1.514,1.511,1.323,0.012,0.016,0.009,0.002,1.2,5.648,6.71,1.62,
JS-13,17.6,7.9,9.7,1.2,119,2.221,2.208,1.794,0.103,0.177,0.153,0.148,2,8.168,10.07,4.31,
JS-14,18,7.5,10.1,1.6,128,1.649,1.631,1.247,0.05,0.063,0.043,0.028,3.1,8.932,6.86,2.61,
JS-15,17.2,6.7,9,1.2,126,2.016,1.989,1.618,0.058,0.138,0.112,0.108,2.1,8.207,9.47,5.39,
JS-16,17.4,7,9.9,1.5,198,2.346,2.275,1.791,0.096,0.083,0.051,0.039,3.5,13.677,11.14,1.94,
JS-17,17.6,7,8.9,1.2,131,2.002,2,1.596,0.059,0.129,0.104,0.099,2.3,8.671,10.29,4.78,
JS-18,15.7,7.1,9,0.7,180,1.328,1.31,1.124,0.022,0.024,0.015,0.008,1.9,6.813,5.64,1.22,
JS-19,17.9,7.2,9.4,1.4,136,1.739,1.695,1.352,0.042,0.095,0.061,0.056,2.2,9.034,10.58,3.54,
JS-20,17.6,7.4,9.5,1.9,238,1.822,1.79,1.333,0.109,0.049,0.034,0.021,2.8,13.341,8.69,2.75,
JS-21,17.9,7.2,9.5,2.4,189,2.207,2.137,1.596,0.195,0.1,0.055,0.046,3.1,13.156,9.78,3.68,
JS-22,17,7.6,10.3,0.9,232,1.834,1.758,1.272,0.142,0.03,0.02,0.008,2.5,23.107,13.1,1.02,
JS-23,17.5,7.6,9.7,2.1,209,2.811,2.8,2.038,0.267,0.194,0.157,0.155,3,13.291,9.05,7.36,
JS-24,17.8,7.7,10.4,2.4,207,3.351,3.326,2.571,0.183,0.268,0.215,0.213,4,11.592,8.14,7.11,
JS-25,17.6,7.6,9.7,0.6,202,2.496,2.485,1.857,0.198,0.13,0.095,0.089,3,12.569,9.05,5.2,
JS-26,17.1,7.9,9.2,0.9,156,1.383,1.318,0.999,0.022,0.057,0.035,0.024,3,9.825,8.6,4.27,
JS-27,16.3,7.5,12.4,0.9,225,4.922,4.81,4.231,0.057,2.13,2.08,2.051,4.8,10.353,8.96,8.98,
JS-28,16.8,8.4,10.4,1,268,3.502,3.497,3.082,0.036,0.052,0.03,0.019,2.7,16.773,10.22,3.58,
JS-29,18.1,8.7,11.9,3.7,164,1.662,1.54,1.163,0.04,0.074,0.024,0.01,4,10.894,10.5,7.16,
JS-30,13.9,5.6,6.4,0.4,179,2.088,2.084,1.855,0.018,0.031,0.017,0.015,1.5,10.669,14.01,3.85,
JS-31,17.9,6.5,8.6,1.2,200,2.216,2.194,1.799,0.029,0.087,0.056,0.052,2.5,12.52,10.41,4.92,
JS-32,17.4,5.9,6.2,4.1,234,4.217,4.212,2.723,0.639,0.305,0.221,0.206,7.4,17.34,9.1,6.2,
JS-33,17.7,6.4,8.5,2.6,298,3.259,3.257,2.084,0.481,0.148,0.092,0.084,4,32.604,11.43,0.84,
JS-34,18.4,6.7,8.9,1,199,2.184,2.178,1.747,0.026,0.083,0.049,0.038,2.6,12.784,10.5,5.06,
JS-35,19.9,6.9,9.4,2.4,340,4.735,4.723,3.686,0.152,0.236,0.141,0.127,6.1,25.895,12.62,5.42,
JS-36,20.1,7.7,10.3,1.6,210,2.422,2.41,1.969,0.027,0.094,0.055,0.045,3,14.714,10.89,4.53,
JS-20B,18,7,8.2,13.3,350,8.271,7.645,4.11,2.179,0.289,0.099,0.068,11.6,43.034,9.77,-1.17,
