"구분","오염원","d15N","d18O","Kendall_Pass","KDE_Pass","center_d15N","center_d18O","delta_d15N","delta_d18O","vector_slope","Denit_Pass","Final_Decision"
"강우계","강우-1",-4.8,23.7,FALSE,TRUE,0.114,49.018,-4.914,-25.318,5.15221815221815,FALSE,"Drop (Outlier)"
"강우계","강우-2",-3.1,22.6,FALSE,TRUE,0.114,49.018,-3.214,-26.418,8.21966397013068,FALSE,"Drop (Outlier)"
"강우계","강우-3",-1.5,54.8,TRUE,TRUE,0.114,49.018,-1.614,5.782,-3.58240396530359,FALSE,"Pass (Approved)"
"강우계","강우-4",0.2,49.3,TRUE,TRUE,0.114,49.018,0.086,0.281999999999996,3.27906976744182,FALSE,"Pass (Approved)"
"강우계","강우-5",-7.2,51.1,TRUE,FALSE,0.114,49.018,-7.314,2.082,-0.284659557013946,FALSE,"Review Required"
"강우계","강우(옥상)",-2.19,52.37,TRUE,TRUE,0.114,49.018,-2.304,3.352,-1.45486111111111,FALSE,"Pass (Approved)"
"강우계","강우(순수)",-2.1,51.5,TRUE,TRUE,0.114,49.018,-2.214,2.482,-1.12104787714544,FALSE,"Pass (Approved)"
"강우계","강우시료",3.25,40.02,TRUE,TRUE,0.114,49.018,3.136,-8.998,-2.86926020408163,FALSE,"Pass (Approved)"
"강우계","강우(빗물)",1.75,45.94,TRUE,TRUE,0.114,49.018,1.636,-3.078,-1.88141809290954,FALSE,"Pass (Approved)"
"강우계","강우(빗물)",0.13,51.47,TRUE,TRUE,0.114,49.018,0.016,2.452,153.25,FALSE,"Pass (Approved)"
"강우계","강우-6",-0.28,47.37,TRUE,TRUE,0.114,49.018,-0.394,-1.648,4.18274111675128,FALSE,"Pass (Approved)"
"강우계","강우-7",1.75,45.94,TRUE,TRUE,0.114,49.018,1.636,-3.078,-1.88141809290954,FALSE,"Pass (Approved)"
"강우계","강우-8",0.13,51.47,TRUE,TRUE,0.114,49.018,0.016,2.452,153.25,FALSE,"Pass (Approved)"
"농업계","밭토양 유출수-3",12.25,7.79,FALSE,TRUE,1.85365591397849,9.15591397849462,10.3963440860215,-1.36591397849462,-0.131384068013983,FALSE,"Drop (Outlier)"
"농업계","퇴비, 밭 유출수-5",-0.44,1.26,TRUE,TRUE,1.85365591397849,9.15591397849462,-2.29365591397849,-7.89591397849462,3.44250152360414,FALSE,"Pass (Approved)"
"농업계","과수원 유출수-6",4.95,4.34,TRUE,TRUE,1.85365591397849,9.15591397849462,3.09634408602151,-4.81591397849462,-1.55535491040422,FALSE,"Pass (Approved)"
