"구분","오염원","d15N","d18O","Step1_Pass","ModZ_d15N","ModZ_d18O","Step2_Pass","MCD_Distance","Step3_Pass"
"토양계","토양-1",0.6,10.9,TRUE,0.0465166041018341,0.939739934551661,TRUE,1.85297748278699,TRUE
"토양계","토양-2",0.5,11.1,TRUE,0,0.977632673848099,TRUE,1.8499907711343,TRUE
"토양계","토양-3",0.5,11.1,TRUE,0,0.977632673848099,TRUE,1.8499907711343,TRUE
"토양계","토양-4",4.1,9.6,TRUE,1.67459774766603,0.693437129124814,TRUE,15.1045268955058,FALSE
"토양계","토양-5",-1.6,9.5,TRUE,0.976848686138517,0.674490759476595,TRUE,2.15985264131476,TRUE
"토양계","토양-6",-0.1,13.5,TRUE,0.279099624611005,1.43234554540535,TRUE,3.14622752260467,TRUE
"토양계","토양-7",-0.1,9.9,TRUE,0.279099624611005,0.750276238069471,TRUE,0.752947556935625,TRUE
"토양계","토양-8",-0.1,8.2,TRUE,0.279099624611005,0.428187954049748,TRUE,0.201314737764282,TRUE
"토양계","산림유출수-2",-1.7,6.12,TRUE,1.02336529024035,0.0341034653667941,TRUE,2.51775502460366,TRUE
"토양계","산림유출수-1",-1.56,7.06,TRUE,0.958242044497784,0.212199340060052,TRUE,1.97348336935254,TRUE
"토양계","산림유출수-2",1.95,4.11,TRUE,0.674490759476595,0.346718564562407,TRUE,2.56801906218776,TRUE
"토양계","산림유출수-3",-0.05,3.65,TRUE,0.255841322560088,0.433871864944214,TRUE,0.522323746553571,TRUE
"토양계","산림유출수-4",0.04,3.48,TRUE,0.213976378868437,0.466080693346187,TRUE,0.542457427966805,TRUE
"토양계","장성천 산림유출수",1.75,7.65,TRUE,0.581457551272927,0.323982920984544,TRUE,2.60347776978839,TRUE
"토양계","광주천 산림유출수",4.34,0.88,TRUE,1.78623759751043,0.95868630419988,TRUE,13.2950969188879,FALSE
"토양계","광주천 산림토(대나무)",3.76,8.43,TRUE,1.51644129371979,0.471764604240652,TRUE,11.9537385142144,FALSE
"토양계","장성천 산림토",-10.98,5.94,TRUE,5.34010615089056,0,FALSE,NA,FALSE
"토양계","만봉천 산림토",-1.51,4.03,TRUE,0.934983742446866,0.361875660280982,TRUE,2.77438781323544,TRUE
"토양계","영산천 산림토",-0.08,4.13,TRUE,0.269796303790638,0.342929290632763,TRUE,0.377868022137983,TRUE
"토양계","동화호 상류01",2.36,-0.6,TRUE,0.865208836294115,1.23909257499352,TRUE,5.20982751386086,TRUE
"토양계","동화호 상류02",1.86,-1.83,TRUE,0.632625815784945,1.47213292166661,TRUE,4.96344950816989,TRUE
"토양계","장남호 상류",7.77,2.4,TRUE,3.38175711820334,0.670701485546952,TRUE,43.7540545650071,FALSE
"토양계","동화천 상류",0.92,0.08,TRUE,0.195369737227703,1.11025726138563,TRUE,2.42048511955977,TRUE
"토양계","오수천 상류",2.98,0.23,TRUE,1.15361178172549,1.0818377069133,TRUE,6.80689516637863,FALSE
"토양계","산림",-1.17,6.46,TRUE,0.77682728850063,0.0985211221707386,TRUE,1.19197072930281,TRUE
"토양계","산림",5.15,1.73,TRUE,2.16302209073529,0.797642162190019,TRUE,18.6830217583957,FALSE
"토양계","산림",1.17,1.62,TRUE,0.311661247482289,0.818483168803059,TRUE,1.73102092346645,TRUE
"강우계","강우-1",-4.8,23.7,TRUE,1.59617708525351,5.6244180594791,FALSE,NA,FALSE
"강우계","강우-2",-3.1,22.6,TRUE,0.995844995667015,5.86609227297234,FALSE,NA,FALSE
"강우계","강우-3",-1.5,54.8,TRUE,0.430826558409134,1.20837106746621,TRUE,1.92334408669424,TRUE
"강우계","강우-4",0.2,49.3,TRUE,0.169505531177364,0,TRUE,0.0173014218514105,TRUE
"강우계","강우-5",-7.2,51.1,TRUE,2.44370474114033,0.395466894807125,TRUE,84.0920396505569,FALSE
"강우계","강우(옥상)",-2.19,52.37,TRUE,0.674490759476595,0.674490759476595,TRUE,3.84214187219091,TRUE
"강우계","강우(순수)",-2.1,51.5,TRUE,0.64270847238084,0.483348426986486,TRUE,4.63451638131427,TRUE
"강우계","강우시료",3.25,40.02,TRUE,1.2465719272002,2.03885154656117,TRUE,3.84540869608585,TRUE
"강우계","강우(빗물)",1.75,45.94,TRUE,0.716867142270936,0.738204870306632,TRUE,0.746119439737661,TRUE
"강우계","강우(빗물)",0.13,51.47,TRUE,0.144785974547332,0.476757312073033,TRUE,1.26850012926556,TRUE
"강우계","강우-6",-0.28,47.37,TRUE,0,0.424028392765416,TRUE,2.34256478517114,TRUE
"강우계","강우-7",1.75,45.94,TRUE,0.716867142270936,0.738204870306632,TRUE,0.746119439737661,TRUE
"강우계","강우-8",0.13,51.47,TRUE,0.144785974547332,0.476757312073033,TRUE,1.26850012926556,TRUE
"생활계","하수처리장-1",21.9,13.2,TRUE,1.9025551674872,1.91846174102624,TRUE,7.27551172118595,FALSE
"생활계","하수처리장-2",14.4,9.2,TRUE,0.485557773628809,1.11068837638361,TRUE,1.56184589207742,TRUE
"생활계","하수처리장-3",4.2,11.2,TRUE,1.44155868201861,1.51457505870493,TRUE,12.5715156418316,FALSE
"생활계","하수처리장-4",11.5,11.2,TRUE,0.0623478853297693,1.51457505870493,TRUE,4.0253402812704,TRUE
"생활계","하수처리장-5",6.3,9.3,TRUE,1.04479941173826,1.13088271049968,TRUE,7.06943640814214,FALSE
"생활계","하수처리장-6",15.4,9.8,TRUE,0.674490759476595,1.23185438108001,TRUE,1.93725858685605,TRUE
"생활계","하수처리장-7",10.7,8,TRUE,0.213494274007998,0.868356366990826,TRUE,1.9089295584867,TRUE
"생활계","하수처리장-8",14.3,10.6,TRUE,0.466664475044031,1.39340905400853,TRUE,2.49127659923921,TRUE
"생활계","하수처리장-9",2.2,5.7,TRUE,1.81942465371418,0.403886682321314,TRUE,9.95736551003446,FALSE
"생활계","하수처리장-10",8.1,3.7,TRUE,0.704720037212241,0,TRUE,1.61340509713431,TRUE
"생활계","하수처리장-11",14,5.9,TRUE,0.409984579289695,0.444275350553446,TRUE,0.284914422959623,TRUE
"생활계","하수처리장-12",11.5,7.6,TRUE,0.0623478853297693,0.787579030526563,TRUE,1.29684731243897,TRUE
"생활계","하수처리장-13",14.4,5,TRUE,0.485557773628809,0.262526343508854,TRUE,0.225605375634419,TRUE
"생활계","하수처리장-14",16.3,3.9,TRUE,0.844530446739602,0.0403886682321314,TRUE,1.01090454223736,TRUE
"생활계","하수처리장-15",11.2,3,TRUE,0.119027781084105,0.14136033881246,TRUE,0.130286239383824,TRUE
"생활계","하수처리장-16",13.6,4.5,TRUE,0.334411384950581,0.161554672928526,TRUE,0.0737593210011427,TRUE
"생활계","하수처리장-17",10.1,5.1,TRUE,0.326854065516669,0.28272067762492,TRUE,0.833501295901523,TRUE
"생활계","하수처리장-18",20.4,9.3,TRUE,1.61915568871552,1.13088271049968,TRUE,4.20201017886257,TRUE
"생활계","하수처리장-19",12.7,14.7,TRUE,0.164371697687573,2.22137675276723,TRUE,7.3316606305862,FALSE
"생활계","광주1 유입수",-1.45,16.88,TRUE,2.50903005205859,2.66161323649746,TRUE,36.5188693058285,FALSE
"생활계","광주1 방류수",12.22,4.62,TRUE,0.0736838644806365,0.185787873867805,TRUE,0.0937126217466694,TRUE
"생활계","광주2 유입수",14.79,11.62,TRUE,0.559241638109446,1.59939126199241,TRUE,3.24220807194935,TRUE
"생활계","광주2 방류수",12.85,4.52,TRUE,0.192711645564741,0.165593539751739,TRUE,0.0407157382705841,TRUE
"생활계","담양 유입수",1.59,10.19,TRUE,1.93467377508133,1.31061228413267,TRUE,16.1659459753804,FALSE
"생활계","담양 방류수",-2.63,1.39,TRUE,2.73197097535898,0.466489118081118,TRUE,16.5695115648992,FALSE
"생활계","장성 유입수",14.29,6.45,TRUE,0.464775145185553,0.555344188191807,TRUE,0.434489428154265,TRUE
"생활계","장성 생활하수",6.31,8.55,TRUE,1.04291008187978,0.979425204629188,TRUE,6.31231686426371,FALSE
"생활계","장성 방류수",13.29,2.47,TRUE,0.275842159337767,0.248390309627608,TRUE,0.159976702848131,TRUE
"생활계","나주 유입수",29.74,-0.79,TRUE,3.38378977653384,0.906725601811351,TRUE,28.3682870128671,FALSE
"생활계","나주 매립지침출수",21.68,6.88,TRUE,1.86098991060069,0.64217982489089,TRUE,5.4126642740863,TRUE
"생활계","나주 산단폐수",19.49,6.84,TRUE,1.44722667159404,0.634102091244464,TRUE,3.08087526086261,TRUE
"생활계","나주 방류수",12.52,1.33,TRUE,0.130363760234972,0.478605718550758,TRUE,0.305757693266295,TRUE
"생활계","함평 유입수",-2.7,16.36,TRUE,2.74519628436833,2.55660269909392,TRUE,39.0615260172276,FALSE
"생활계","함평 방류수",20.52,6.5,TRUE,1.64182764701726,0.56544135524984,TRUE,4.11257137993197,TRUE
"생활계","무안 유입수",6.17,-13.97,TRUE,1.06936069989847,3.56833883830881,FALSE,NA,FALSE
"생활계","무안 방류수",33.58,12.91,TRUE,4.10929244218934,1.85989817208965,FALSE,NA,FALSE
