year,month,date,system,central,site,BOD,T_N,T_P,TOC
2021,1,2021.01.04,영산강,영산강상류,우치,2.2,3.086,0.095,3
2021,1,2021.01.04,영산강,영산강하구언,무안2,2.1,2.658,0.039,4.1
2021,1,2021.01.04,영산강,죽산보(영산강중류),죽산,9,8.172,0.136,9.4
2021,1,2021.01.04,영산강,죽산보(영산강중류),광산,5.8,9.644,0.272,7.2
2021,1,2021.01.04,영산강,죽산보(영산강중류),나주,5,8.834,0.33,5.5
2021,1,2021.01.05,영산강,영산강상류,담양,0.8,2.869,0.162,1.5
2021,1,2021.01.05,영산강,영산강상류,광주1,2.3,3.143,0.064,2.2
2021,1,2021.01.05,영산강,영산강상류,광주3,5.1,10.932,0.1,3.8
2021,1,2021.01.05,영산강,영산강하류,무안1,1.9,4.902,0.063,3.4
2021,1,2021.01.05,영산강,지석천,지석천4,6.9,5.298,0.126,7.1
2021,1,2021.01.05,영산강,황룡강,황룡강5,7.1,2.382,0.105,7.2
2021,1,2021.01.05,영산강,황룡강,황룡강2,2.2,1.219,0.082,2.3
2021,1,2021.01.13,영산강,영산강상류,광주천1,6.8,18.57,0.131,4.2
2021,1,2021.01.15,영산강,영암천,영암천1,1.9,5.38,0.136,2.5
2021,1,2021.01.19,영산강,고막원천,고막원천4,4,3.851,0.136,4.2
2021,1,2021.01.11,영산강,영산강상류,담양,2.3,2.928,0.22,2.1
2021,1,2021.01.11,영산강,영산강상류,광주1,4.2,3.21,0.098,3.3
2021,1,2021.01.11,영산강,영산강상류,광주3,5,10.949,0.111,4.6
2021,1,2021.01.11,영산강,영산강하류,무안1,4.1,6.321,0.047,4.5
2021,1,2021.01.13,영산강,영산강상류,우치,2,3.799,0.094,2.2
2021,1,2021.01.13,영산강,영산강하구언,무안2,2,3.159,0.036,3.6
2021,1,2021.01.13,영산강,지석천,지석천4,2.6,5.152,0.138,2.9
2021,1,2021.01.13,영산강,황룡강,황룡강5,3,2.653,0.111,3.1
2021,1,2021.01.14,영산강,죽산보(영산강중류),죽산,4.3,7.298,0.074,4.6
2021,1,2021.01.14,영산강,죽산보(영산강중류),광산,4.7,10.516,0.12,5.1
2021,1,2021.01.14,영산강,죽산보(영산강중류),나주,4.8,9.573,0.145,5.1
2021,1,2021.01.26,영산강,고막원천,고막원천4,5.8,4.095,0.178,6
2021,1,2021.01.19,영산강,영산강상류,우치,1.4,3.21,0.093,1.9
2021,1,2021.01.19,영산강,영산강상류,담양,0.9,3.085,0.203,1.8
2021,1,2021.01.19,영산강,영산강상류,광주1,3.1,3.54,0.114,2.7
2021,1,2021.01.19,영산강,영산강상류,광주3,8.8,10.812,1.092,4.9
2021,1,2021.01.19,영산강,영산강하구언,무안2,1.9,2.891,0.022,2.8
2021,1,2021.01.19,영산강,영산강하류,무안1,2.7,5.708,0.068,3.9
2021,1,2021.01.19,영산강,죽산보(영산강중류),죽산,4.7,8.863,0.165,4.8
2021,1,2021.01.19,영산강,죽산보(영산강중류),광산,3.9,10.447,0.218,4
2021,1,2021.01.19,영산강,죽산보(영산강중류),나주,5.3,10.037,0.264,7.1
2021,1,2021.01.20,영산강,지석천,지석천4,3.7,5.874,0.157,3.9
2021,1,2021.01.20,영산강,황룡강,황룡강5,3.4,2.388,0.1,3.6
2021,1,2021.01.25,영산강,영산강상류,우치,2.1,3.291,0.104,3
2021,1,2021.01.25,영산강,영산강상류,담양,1.3,2.948,0.231,1.9
2021,1,2021.01.25,영산강,영산강상류,광주1,4.7,3.316,0.102,3.1
2021,1,2021.01.25,영산강,영산강상류,광주3,6,10.255,0.142,4.6
2021,1,2021.01.25,영산강,영산강하류,무안1,2.8,6.747,0.069,4.3
2021,1,2021.01.25,영산강,죽산보(영산강중류),죽산,5.1,8.056,0.135,5.2
2021,1,2021.01.25,영산강,죽산보(영산강중류),광산,4.6,8.09,0.305,5.6
2021,1,2021.01.25,영산강,죽산보(영산강중류),나주,4.7,8.85,0.201,5.1
2021,1,2021.01.25,영산강,지석천,지석천4,4,4.338,0.145,4.4
2021,1,2021.01.25,영산강,황룡강,황룡강5,3.7,2.871,0.107,4.7
2021,1,2021.01.26,영산강,영산강하구언,무안2,2.2,3.186,0.038,3.7
2021,2,2021.02.01,영산강,영산강상류,우치,2,2.959,0.117,3.3
2021,2,2021.02.01,영산강,죽산보(영산강중류),죽산,5.7,7.885,0.191,5.8
2021,2,2021.02.01,영산강,죽산보(영산강중류),광산,4.8,9.422,0.15,5.3
2021,2,2021.02.01,영산강,죽산보(영산강중류),나주,5.9,7.638,0.261,7
2021,2,2021.02.01,영산강,지석천,지석천4,4.1,4.297,0.203,4.2
2021,2,2021.02.01,영산강,황룡강,황룡강5,3.8,3.321,0.213,8
2021,2,2021.02.02,영산강,고막원천,고막원천4,5.8,5.128,0.233,5.8
2021,2,2021.02.02,영산강,영산강상류,광주천1,5.1,11.664,0.04,4.2
2021,2,2021.02.02,영산강,영산강상류,담양,0.7,2.675,0.122,2.5
2021,2,2021.02.02,영산강,영산강상류,광주1,4.8,2.74,0.089,3.5
2021,2,2021.02.02,영산강,영산강상류,광주3,9.4,7.777,0.142,5
2021,2,2021.02.02,영산강,영산강하구언,무안2,2,3.727,0.072,3.9
2021,2,2021.02.02,영산강,영산강하류,무안1,5.9,6.316,0.109,4.4
2021,2,2021.02.04,영산강,영암천,영암천1,1.9,4.431,0.117,2.4
2021,2,2021.02.08,영산강,황룡강,황룡강2,1.2,2.09,0.056,2.1
2021,2,2021.02.08,영산강,영산강상류,우치,1.8,3.126,0.106,3.7
2021,2,2021.02.08,영산강,영산강상류,담양,1.1,2.256,0.13,1.7
2021,2,2021.02.08,영산강,영산강상류,광주1,4.4,2.989,0.099,3.7
2021,2,2021.02.08,영산강,영산강상류,광주3,5.9,12.454,0.109,5.5
2021,2,2021.02.08,영산강,영산강하구언,무안2,1.7,3.586,0.041,4.2
2021,2,2021.02.08,영산강,영산강하류,무안1,3.1,6.49,0.072,4.3
2021,2,2021.02.08,영산강,죽산보(영산강중류),죽산,5.6,7.127,0.185,5.8
2021,2,2021.02.08,영산강,죽산보(영산강중류),광산,4.5,8.182,0.103,5.3
2021,2,2021.02.08,영산강,죽산보(영산강중류),나주,5.8,6.231,0.156,6
2021,2,2021.02.08,영산강,지석천,지석천4,4,5.635,0.391,4.3
2021,2,2021.02.08,영산강,황룡강,황룡강5,3.8,2.639,0.1,4.6
2021,2,2021.02.16,영산강,고막원천,고막원천4,7.1,3.396,0.17,7.2
2021,2,2021.02.15,영산강,영산강상류,우치,2.8,2.662,0.095,4.1
2021,2,2021.02.15,영산강,죽산보(영산강중류),죽산,4.7,5.825,0.102,5.1
2021,2,2021.02.15,영산강,죽산보(영산강중류),광산,5.1,11.109,0.133,6.1
2021,2,2021.02.15,영산강,죽산보(영산강중류),나주,4.9,8.664,0.128,5.7
2021,2,2021.02.15,영산강,지석천,지석천4,4.2,4.978,0.242,4.3
2021,2,2021.02.15,영산강,황룡강,황룡강5,3.9,2.61,0.117,4.4
2021,2,2021.02.16,영산강,영산강상류,담양,0.8,2.677,0.192,1.9
2021,2,2021.02.16,영산강,영산강상류,광주1,5.6,2.481,0.13,4.7
2021,2,2021.02.16,영산강,영산강상류,광주3,9.1,13.93,0.208,5.9
2021,2,2021.02.16,영산강,영산강하구언,무안2,1.8,4.048,0.044,4.2
2021,2,2021.02.16,영산강,영산강하류,무안1,1.2,4.971,0.078,3.9
2021,2,2021.02.23,영산강,고막원천,고막원천4,7.8,3.511,0.258,11.5
2021,2,2021.02.22,영산강,영산강상류,우치,2.8,2.984,0.116,4.8
2021,2,2021.02.22,영산강,영산강상류,담양,0.9,2.507,0.18,1.8
