BIX,FI,site,round
0.69,1.32,JS-01,round01
0.7,1.36,JS-02,round01
0.7,1.31,JS-03,round01
0.69,1.32,JS-04,round01
0.7,1.4,JS-05,round01
0.68,1.28,JS-06,round01
0.67,1.34,JS-07,round01
0.72,1.44,JS-08,round01
0.71,1.34,JS-09,round01
0.74,1.38,JS-10,round01
0.82,1.28,JS-11,round01
0.88,1.44,JS-12,round01
0.73,1.36,JS-13,round01
0.76,1.38,JS-14,round01
0.75,1.44,JS-15,round01
0.76,1.34,JS-16,round01
0.76,1.31,JS-17,round01
0.73,1.31,JS-18,round01
0.75,1.32,JS-19,round01
0.78,1.36,JS-20,round01
0.82,1.32,JS-21,round01
0.85,1.32,JS-22,round01
0.83,1.36,JS-23,round01
0.78,1.34,JS-24,round01
0.82,1.37,JS-25,round01
0.79,1.32,JS-26,round01
0.81,1.33,JS-27,round01
0.83,1.35,JS-28,round01
0.79,1.35,JS-29,round01
0.75,1.39,JS-30,round01
0.77,1.35,JS-31,round01
0.77,1.33,JS-32,round01
0.95,1.41,JS-33,round01
0.8,1.36,JS-34,round01
0.81,1.36,JS-35,round01
0.8,1.31,JS-36,round01
0.69,1.3,JS-01,round02
0.7,1.27,JS-02,round02
0.7,1.24,JS-03,round02
0.62,1.26,JS-04,round02
0.69,1.33,JS-05,round02
0.7,1.33,JS-06,round02
0.67,1.29,JS-07,round02
0.71,1.3,JS-08,round02
0.72,1.35,JS-09,round02
0.73,1.32,JS-10,round02
0.72,1.37,JS-11,round02
0.82,1.37,JS-12,round02
0.74,1.36,JS-13,round02
0.75,1.31,JS-14,round02
1.07,1.37,JS-15,round02
0.82,1.35,JS-16,round02
0.76,1.38,JS-17,round02
0.79,1.36,JS-18,round02
0.75,1.33,JS-19,round02
0.78,1.35,JS-20,round02
0.87,1.34,JS-21,round02
1.36,1.45,JS-22,round02
0.85,1.41,JS-23,round02
0.77,1.34,JS-24,round02
0.86,1.37,JS-25,round02
0.79,1.31,JS-26,round02
0.75,1.28,JS-27,round02
0.79,1.36,JS-28,round02
0.83,1.34,JS-29,round02
0.82,1.43,JS-30,round02
0.83,1.37,JS-31,round02
0.69,1.24,JS-32,round02
0.95,1.41,JS-33,round02
0.88,1.4,JS-34,round02
0.8,1.4,JS-35,round02
0.85,1.4,JS-36,round02
0.71,1.29,JS-01,round03
0.69,1.22,JS-02,round03
0.68,1.26,JS-03,round03
0.65,1.23,JS-04,round03
0.69,1.27,JS-05,round03
2.74,1.3,JS-06,round03
0.65,1.33,JS-07,round03
0.77,1.36,JS-08,round03
0.73,1.34,JS-09,round03
0.7,1.32,JS-10,round03
0.7,1.34,JS-11,round03
0.81,1.39,JS-12,round03
0.71,1.27,JS-13,round03
0.72,1.3,JS-14,round03
0.72,1.3,JS-15,round03
1.72,1.32,JS-16,round03
1.2,1.28,JS-17,round03
0.77,1.25,JS-18,round03
0.61,1.34,JS-19,round03
0.99,1.39,JS-20,round03
0.75,1.32,JS-21,round03
0.78,1.36,JS-22,round03
0.73,1.35,JS-23,round03
0.73,1.33,JS-24,round03
0.74,1.32,JS-25,round03
0.74,1.34,JS-26,round03
0.73,1.3,JS-27,round03
0.78,1.33,JS-28,round03
0.72,1.29,JS-29,round03
0.73,1.3,JS-30,round03
0.71,1.33,JS-31,round03
0.71,1.31,JS-32,round03
0.82,1.38,JS-33,round03
0.73,1.29,JS-34,round03
0.73,1.33,JS-35,round03
0.74,1.33,JS-36,round03
0.72,1.31,JS-01,round04
0.69,1.29,JS-02,round04
0.7,1.24,JS-03,round04
