Source,N_15,O_18
sewage,8.52,2.98
sewage,12.27,4.01
sewage,14.07,3.84
sewage,12.44,3.65
sewage,16.52,5.16
sewage,10.89,1.05
sewage,19.19,4
sewage,15.92,-0.37
sewage,13.38,4.66
sewage,7.56,-0.25
sewage,20.5,5.45
sewage,23.7,6.6
sewage,12.15,-0.53
manure,17.66,10.89
manure,18.17,9.27
manure,15.31,3.085
manure,19.24,8.46
manure,4.09,16.755
manure,20.925,5.27
manure,24.47,-0.67
manure,24.39,1.315
manure,18.195,4.745
manure,9.6,5.88
manure,8.615,11.465
manure,17.56,8.84
fertilizer,0.63,10.72
fertilizer,1.1,18.05
fertilizer,1.665,4.11
fertilizer,1.41,8.97
fertilizer,0.53,7.29
rain,3.25,40.02
rain,1.75,45.94
rain,0.13,51.47
soil,1.75,7.65
soil,4.34,0.88
soil,3.76,8.43
soil,2.36,-0.6
soil,1.86,-1.83
soil,7.77,2.4
soil,0.92,0.08
soil,2.98,0.23
