Source,N_15,O_18
sewage,16.52,5.16
sewage,15.92,-0.37
sewage,15.17,-3.82
sewage,14.62,0.65
sewage,14.07,3.84
sewage,13.38,4.66
sewage,12.44,3.65
sewage,12.27,4.01
sewage,12.15,-0.53
sewage,12.14,1.42
sewage,10.89,1.05
sewage,10.72,3.81
manure,17.66,10.89
manure,18.17,9.27
manure,15.31,3.085
manure,19.24,8.46
manure,20.925,5.27
manure,24.47,-0.67
manure,24.39,1.315
manure,18.195,4.745
fertilizer,0.63,10.72
fertilizer,1.1,18.05
rain,3.25,40.02
rain,1.75,45.94
rain,0.13,51.47
soil,1.41,8.97
soil,3.76,8.43
soil,1.75,7.65
soil,0.53,7.29
soil,1.665,4.11
