date,spot,precipitation,d15N,d18O,Cl,NO3N
240919,s1,before,8.39,-1.28,19.615,0.798
240919,s2,before,13.52,-2.37,42.957,4.186
240919,s3,before,14.02,-3.68,47.884,3.108
240919,s4,before,14.22,-1.24,38.053,1.391
240919,s5,before,8.13,2.91,14.064,0.777
240919,s6,before,9.49,2.95,23.036,1.403
240919,s7,before,7.61,-0.36,23.76,1.781
240919,s8,before,-0.57,-1.45,36.484,0.339
240919,s9,before,3.82,-1.38,28.714,2.409
240919,s10,before,9.73,5,13.584,1.207
240919,s11,before,10.98,4.84,13.785,0.829
240919,s12,before,11.17,3.23,15.304,1.43
240919,s13,before,9.98,3.95,13.322,0.921
240919,s14,before,10.94,4.06,30.302,0.714
240919,s15,before,11.33,4.95,13.989,0.82
240919,s16,before,8.52,3.52,12.936,1.835
240919,s17,before,10.67,2.06,21.669,1.924
240919,s18,before,12.47,1.56,34.602,1.694
240919,s19,before,13.59,3.96,63.669,4.961
240919,s20,before,10.21,3.1,42.067,4.064
240919,s21,before,10,2.96,11.234,0.49
240919,s22,before,10.44,1.64,17.195,1.14
240919,s23,before,12.09,1.59,17.49,1.293
240919,s24,before,9.7,-0.33,16.988,0.839
240920,s1,raining_AM,3.61,-3.39,6.443,2.479
240920,s2,raining_AM,2.93,-2.93,9.094,1.285
240920,s3,raining_AM,2.53,-0.8,7.538,1.126
240920,s4,raining_AM,2.85,-0.42,9.996,0.966
240920,s5,raining_AM,3.75,-0.27,6.713,1.81
240920,s6,raining_AM,6.21,-0.08,10.242,1.586
240920,s7,raining_AM,6.45,-0.33,11.489,1.906
240920,s8,raining_AM,6.36,0.05,35.637,0.765
240920,s9,raining_AM,6.09,-2.75,12.307,2.228
240920,s10,raining_AM,9.75,6.08,12.255,1.156
240920,s11,raining_AM,10.69,2.96,14.508,0.828
240920,s12,raining_AM,10.63,2.95,15.346,1.163
240920,s13,raining_AM,7.91,1.52,6.378,1.129
240920,s14,raining_AM,7.65,2.33,13.02,1.166
240920,s15,raining_AM,9.67,2.44,4.844,1.204
240920,s16,raining_AM,7.01,-0.65,6.794,1.438
240920,s17,raining_AM,7.55,0.45,6.656,1.13
240920,s18,raining_AM,7.87,0.56,8.078,1.249
240920,s19,raining_AM,7.59,2.76,5.663,0.736
240920,s20,raining_AM,6.34,3.38,3.7,0.596
240920,s21,raining_AM,5.44,-0.64,7.372,1.2
240920,s22,raining_AM,7.87,0.48,13.813,0.988
240920,s23,raining_AM,7.22,-0.87,12.028,1.265
240920,s24,raining_AM,7.92,0.46,11.419,1.34
240920,s1,raining_PM,3.22,-1.83,7.827,3.978
240920,s2,raining_PM,3.19,-2.63,8.057,2.569
240920,s3,raining_PM,4.19,-0.87,8.947,1.444
240920,s4,raining_PM,4.33,-0.2,10.225,1.098
240920,s5,raining_PM,2.75,-0.63,7.718,1.875
240920,s6,raining_PM,6.46,-0.38,10.953,1.483
240920,s7,raining_PM,6.72,-1.21,11.271,1.696
240920,s8,raining_PM,9.03,-1.96,28.982,0.853
240920,s9,raining_PM,5.56,-2.61,16.258,1.922
240920,s10,raining_PM,6.03,0.6,7.661,1.387
240920,s11,raining_PM,8.37,4.18,10.664,1.341
240920,s12,raining_PM,9.42,3.71,12.348,1.183
240920,s13,raining_PM,6.38,1.37,9.536,1.146
240920,s14,raining_PM,8.02,1.72,8.069,1.058
240920,s15,raining_PM,8.82,1.11,5.602,1.196
240920,s16,raining_PM,8,0.13,6.92,1.145
240920,s17,raining_PM,9.53,1.35,10.049,1.563
240920,s18,raining_PM,9.59,0.75,11.33,1.557
240920,s19,raining_PM,9.9,3.24,13.75,1.189
240920,s20,raining_PM,4.67,-0.27,8.026,1.535
240920,s21,raining_PM,7.49,2.53,9.056,0.971
240920,s22,raining_PM,7.75,0.71,12.511,0.903
240920,s23,raining_PM,7.59,0.8,12.52,0.995
240920,s24,raining_PM,8.11,0.65,12.463,1.143
240923,s1,after,2.82,-0.84,8.753,2.032
240923,s2,after,2.78,-2.58,8.576,2.137
240923,s3,after,3.38,-1.92,8.839,2.142
240923,s4,after,4.46,-2.14,13.954,1.701
240923,s5,after,1.98,2.05,7.354,1.752
240923,s6,after,8.43,0.78,12.948,1.67
240923,s7,after,8.25,-0.35,14.073,1.84
240923,s8,after,12.56,4.07,30.856,0.701
240923,s9,after,7.14,-2.67,21.363,1.857
240923,s10,after,4.8,-0.72,5.758,2.159
240923,s11,after,5.13,-0.4,5.559,2.185
240923,s12,after,4.94,-0.58,5.797,2.164
240923,s13,after,7.83,0.59,9.614,3.561
240923,s14,after,6.56,0.87,11.368,1.779
240923,s15,after,8.21,1.84,8.957,3.331
240923,s16,after,5.64,1.92,7.252,2.039
240923,s17,after,8,2.11,12.406,2.071
240923,s18,after,8.16,1.79,13.935,1.972
240923,s19,after,9.75,1.59,30.437,2.605
240923,s20,after,9.39,2.5,21.136,1.569
240923,s21,after,2.19,-0.53,5.909,2.031
240923,s22,after,4.61,-0.06,7.362,2.338
240923,s23,after,3.61,-2.47,7.564,2.256
240923,s24,after,5.78,1.18,7.851,2.227
