spot,Flow,Temp,pH,DO,BOD,COD,SS,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,Chla,TOC,Tcoli,Fcoli,Cl,d15N,d18O
우치,677.852,13.1,8.5,14.3,5.5,9.3,16.8,355,1.62,1.428,0.959,0.053,0.108,0.017,0.004,86,7.8,4300,14,50.403,12.39,11.85
광산,7.563,13.7,7.1,8,8.6,11.4,7.9,432,7.358,7.115,1.3,5.733,0.128,0.056,0.025,46.5,8.7,3600,67,65.077,9.4,5.31
영산포2,12.793,12.8,7.7,11.3,8.6,8.6,12.8,365,5.408,5.16,2.271,2.002,0.157,0.061,0.017,74.7,8.4,,,51.806,8.73,4.82
함평,15.015,12,7.6,10.1,5.5,9.7,11.2,341,4.591,4.517,2.323,1.375,0.128,0.06,0.029,34.9,8.1,,,47.663,8.39,5.6
무안2,48.364,8.6,8,10.4,1.8,9.2,5.4,6754,4.228,4.165,2.651,1.079,0.045,0.02,0.003,10.4,6,580,1,1302.451,10.2,5.64
고막원천4,1.284,12.3,9.2,12.9,9,9.8,44.8,294,2.456,2.145,1.644,0.037,0.138,0.02,0.006,128.5,9.3,,,54.242,11.84,8.6
요천3,2.131,15.5,8.9,12.8,4.1,5.6,10.3,299,3.075,2.992,2.5,0.024,0.047,0.015,0.003,24.4,4.6,1300,0,38.745,8.39,1.62
오수천2,1.878,14,8.4,11.5,3.6,4.9,3.7,255,1.695,,,,0.036,,,,4.1,,,26.59,10.92,7.12
죽산,,12,7.4,9.8,5.4,9.5,10.5,380,6.079,5.855,2.106,3.055,0.145,0.065,0.03,34.7,7.8,580,16,53.379,9.24,5.11
황룡강5,81.83,13.2,8.3,10.4,7.2,8,10.1,315,2.251,2.02,1.14,0.429,0.078,0.024,0.005,23.6,6,55000,1100,43.453,6.26,5.48
지석천4,3.525,11,7.1,12.7,5.8,9,19.6,262,3.12,2.96,2.234,0.042,0.171,0.074,0.059,59.1,7.4,2200,140,24.672,10.3,6.12
나주,,13.9,7.3,9.8,8.1,8.5,9.4,404,7.291,7.107,1.614,5.34,0.108,0.07,0.036,31.4,7.3,4100,62,55.761,8.39,4.1
함평천3,0.938,13.7,8.6,12.8,6.9,13.5,39.8,494,4.201,4.092,2.807,0.071,0.186,0.054,0.031,108.5,9.5,,,78.003,9.98,4.95
영암천2,,15.4,8.9,14.5,6.4,11,17.6,1239,5.116,5.108,3.01,0.664,0.08,0.054,0.006,69.7,9.4,,,304.24,9.79,5.89
삼포천2,,14.9,8.2,10.9,6.5,13.5,89.8,693,7.102,6.482,4.618,0.904,0.163,0.07,0.045,45.1,10.5,,,136.303,11.82,2.2
