spot,temp,pH,DO,BOD,COD,SS,EC,TN,DTN,NO3N,NH3N,TP,DTP,PO4P,Chla,TOC,Tcoli,Fcoli,Cl,d15N,d18O
우치,8.8,6.3,11.7,3.5,6.9,12.9,354,2.773,2.647,1.846,0.150,0.089,0.038,0.029,39.4,5.7,4100,160,53.3 ,6.8,2.4
광산,10.4,7.2,10.8,9.1,11.4,15.4,417,7.712,7.393,1.608,4.997,0.251,0.108,0.091,93.7,9.7,2800,770,62.0 ,1.1,-1.3
영산포2,9.8,7.4,10.2,5.4,11.1,14.1,358,6.484,6.135,2.267,3.637,0.166,0.092,0.081,35.9,8.7,380,4,50.2 ,9.3,3.1
함평,9.9,7.5,8.4,3.9,9.5,11.5,396,7.358,7.325,2.532,4.507,0.173,0.116,0.102,12.9,7.9,410,14,57.1 ,8.6,2.7
무안2,7.2,8.0,11.7,2.6,9.5,5.8,4180,3.715,3.714,2.633,0.788,0.045,0.024,0.004,19.8,5.2,85,0,1050.8 ,11.3,3.5
고막원천4,7.2,6.3,12.5,3.7,7.9,15.9,247,3.840,3.570,3.228,0.051,0.152,0.066,0.063,36.9,6.7,600,16,26.9 ,5.0,0.9
요천3,10.8,8.5,14.3,1.6,5.0,4.5,282,3.651,3.633,3.272,0.056,0.035,0.017,0.007,10.2,4.1,350,0,39.4 ,7.7,0.2
오수천2,8.3,8.1,13.1,1.5,4.6,3.8,263,2.574,2.520,2.183,0.054,0.046,0.033,0.028,5.0,4.1,1200,3,28.4 ,8.2,2.3
죽산,10.2,7.8,12.8,6.1,11.3,18.9,337,6.749,6.529,2.111,3.154,0.180,0.081,0.056,118.3,9.8,1700,5300,47.6 ,8.6,1.6
황룡강5,8.0,6.9,11.2,5.5,7.3,17.4,302,2.907,2.773,1.517,0.573,0.096,0.043,0.021,36.2,6.8,25000,140,40.4 ,6.5,4.1
지석천4,7.3,7.2,12.2,4.3,7.7,23.9,264,6.326,6.200,4.925,0.135,0.585,0.439,0.422,22.6,7.3,43000,420,23.1 ,9.1,2.5
나주,8.8,7.8,12.4,9.3,10.9,23.4,317,5.704,4.579,2.372,1.734,0.290,0.075,0.060,120.1,9.2,5500,2,44.1 ,7.7,2.4
함평천3,6.8,7.6,13.5,5.2,9.1,6.5,485,5.033,4.907,3.844,0.350,0.190,0.072,0.065,44.6,8.4,,,86.3 ,4.6,-0.2
영암천2,9.0,7.8,11.4,3.2,8.6,31.4,1397,5.405,5.180,3.234,1.246,0.165,0.083,0.074,27.9,7.9,,,333.0 ,12.0,3.7
삼포천2,8.1,7.8,12.0,4.9,13.4,39.6,578,8.533,8.357,4.837,2.400,0.355,0.222,0.222,34.2,11.1,,,99.3 ,8.0,1.3
