date,Chla,DNN,DNN_SMOTE,DNN_ADASYN,DNN_SMOTE_ENN,DNN_SMOTE_Tomek,CNN,CNN_SMOTE,CNN_ADASYN,CNN_SMOTE_ENN,CNN_SMOTE_Tomek,RNN,LSTM
2025.01.02,20.7,39.836494,25.445904,34.09752,24.598522,37.62456,29.974916,27.889803,22.965494,23.392109,31.680893,37.778393,25.659288
2025.01.06,28.8,42.078568,29.555775,38.49259,28.419746,42.833744,32.555958,31.207567,27.563211,25.978731,35.108803,44.955154,20.0496
2025.01.13,19,42.90293,27.566776,35.169746,29.325512,39.0281,39.74728,40.646168,38.366974,43.05494,49.46975,38.66878,10.487973
2025.01.20,26.6,43.785892,31.028915,40.069336,32.007465,44.7725,34.260994,33.633114,29.671799,29.382067,40.13684,43.216625,23.002926
2025.02.03,31.6,60.624397,49.163353,55.846684,50.77978,56.158302,65.07185,57.172874,51.504623,64.61182,60.598278,48.38593,18.863617
2025.02.11,25.5,36.134594,21.446936,32.3221,22.501938,33.557777,46.693718,45.87641,39.12753,40.350014,53.435738,45.357544,12.011683
2025.02.17,19.3,45.490955,31.425049,40.074806,29.514038,41.734253,41.154827,38.555653,34.095665,38.775337,44.148464,41.81272,13.762354
2025.02.24,35.3,48.23065,35.812096,44.897606,33.0516,49.283672,38.22074,36.84017,33.72786,30.776709,43.021244,49.374928,25.565716
2025.03.05,40.9,68.00812,50.07604,57.615597,61.35032,60.825577,70.856895,59.28194,55.624523,70.38856,53.70935,51.618,36.954353
2025.03.10,59.1,76.14012,59.46324,67.09671,60.88959,66.74133,67.707146,64.90984,60.631454,67.30589,64.97883,58.40334,45.686954
2025.03.17,55.6,72.40494,55.364132,64.13417,63.848694,67.830475,66.93935,66.07608,63.40957,67.216095,63.228348,57.968815,38.83959
2025.03.24,85.4,96.96942,76.466484,87.74993,81.9835,88.04399,85.50008,87.714226,83.76601,83.659706,86.75096,66.939224,48.34577
2025.03.31,85.6,101.942215,82.192444,94.26782,91.2325,95.89268,97.0967,97.02153,90.806046,94.40572,98.27497,74.83245,55.434486
2025.04.07,18.8,36.23228,22.64175,30.353252,29.021015,29.206537,25.977951,30.531916,21.659468,29.052557,31.019352,47.36105,37.275314
2025.04.14,17.6,42.54948,32.276154,41.34428,43.53685,45.0879,41.56717,42.767548,39.29728,54.95439,41.37081,44.446163,35.338955
2025.04.21,55.7,58.451683,46.008156,53.880646,49.201233,51.34218,51.176956,54.33217,47.548164,56.74798,56.0095,55.54816,47.151253
2025.04.28,46.3,57.082005,44.634758,52.141376,46.10266,51.334465,47.131863,49.93064,43.819267,50.687653,55.870014,52.520645,48.80136
2025.05.07,39.1,48.167427,34.971718,40.457058,38.08291,38.193634,40.06542,38.958088,33.72189,46.063446,40.57499,50.843475,46.469414
2025.05.12,24.6,40.299454,28.972166,32.90985,30.345787,33.283855,38.181168,34.083393,29.129175,34.349014,38.026466,47.74957,47.958824
2025.05.19,35.5,69.464554,49.73806,54.72224,57.898285,53.705654,59.71138,54.425667,50.55038,63.42366,47.429993,50.285603,66.63585
2025.05.26,69.2,95.26005,65.08331,73.24747,68.97945,72.499626,85.41405,80.54317,78.726654,89.139854,68.1498,59.762383,46.92963
2025.06.04,67.1,88.38916,57.592243,59.10836,63.953766,48.230923,81.46086,77.91549,73.77505,89.65232,60.705784,60.324528,48.24237
2025.06.09,56.6,90.80927,70.14977,72.05315,92.89676,67.838135,64.73732,67.413345,60.995365,81.97523,64.30119,57.072987,45.165497
2025.06.16,6.2,34.1334,26.464602,35.01427,57.801872,60.567528,50.34631,44.402042,41.04492,66.504654,34.719753,38.91502,27.38298
2025.06.23,5.9,8.723228,5.940663,9.351501,6.8922586,9.260029,11.434211,10.2635,10.344348,11.537106,6.2048626,31.081024,48.751442
2025.06.30,69.6,129.2632,95.811,89.84303,88.3492,91.193596,125.7704,133.03107,134.62526,133.91528,98.9131,58.243103,37.61948
2025.07.07,43.2,84.90213,60.37189,67.809715,66.26401,63.521442,73.45091,73.724915,66.28051,87.25981,68.98197,51.04927,38.25852
2025.07.14,25,40.912292,30.432034,44.82919,80.285065,72.68247,34.332077,37.455524,34.13521,57.385193,35.382423,48.298695,38.230537
2025.07.21,6.6,4.097101,2.4065452,4.9000063,3.2186637,2.2407212,2.967852,2.3604243,3.509956,2.9972339,3.216619,35.986526,34.600716
2025.07.28,79.3,99.733315,69.74674,79.59526,107.66832,92.49118,105.312294,100.561554,100.15657,116.84399,77.32518,57.827267,37.913055
2025.08.05,3.1,3.5599542,2.7966535,5.2611246,2.8877614,2.2407212,2.5078907,3.0656188,3.368482,2.9162645,3.0774393,37.7711,21.318209
2025.08.11,2.6,5.583073,3.0487797,7.009921,4.1402583,5.998749,8.765237,6.5669327,7.059601,4.420601,4.7353168,29.312756,11.4777
2025.08.18,47.1,33.86284,24.747261,40.14715,37.954803,40.785786,25.988827,29.1247,26.674532,35.73578,27.793726,51.043552,52.18811
2025.08.25,64.5,58.9627,45.325058,52.029404,52.373756,49.38334,53.764503,53.893322,45.45037,62.06138,49.123917,58.385822,68.058205
2025.09.01,21.9,23.655834,14.862773,12.600151,17.99356,13.115768,38.56482,20.42424,17.117682,24.40154,13.777534,47.086514,44.33433
2025.09.08,3.4,5.593646,3.8881814,6.322272,5.885389,3.9076142,5.4946995,6.359533,5.5858326,3.2768216,4.1833773,32.538647,55.370983
2025.09.15,3.6,12.476428,8.278302,9.741867,10.384141,12.037458,14.876622,10.783177,11.431685,9.381827,8.354737,28.21079,22.926884
2025.09.22,9.2,30.681587,20.508097,29.752428,20.399748,26.914335,21.898071,16.09647,16.722357,12.617426,14.324561,29.459856,16.608488
2025.10.01,6.5,21.933428,13.481377,20.625671,6.6550727,9.192506,9.476308,8.808069,9.099378,7.42085,9.477152,24.671144,24.095161
2025.10.14,17.1,20.08031,12.321621,21.260168,33.65818,35.363052,21.91477,19.280792,18.816814,29.789595,16.905178,34.361294,21.354877
2025.10.20,6.3,20.719618,13.179416,18.791166,6.571061,7.735386,10.759927,8.356628,8.316066,6.635214,8.464721,24.918243,29.085785
2025.10.27,15,36.953796,26.423256,31.471876,17.432905,29.899149,27.631786,22.395742,20.399813,20.006088,24.366869,32.27494,25.085476
2025.11.03,40.2,44.63223,32.369217,37.201637,32.788692,36.37426,36.05024,36.339115,31.87957,35.538437,39.804176,49.449024,48.64473
2025.11.10,46.6,72.87906,46.41204,50.214813,48.704163,46.981,63.82602,51.60702,46.8769,58.800446,42.194374,53.60144,40.65571
2025.11.17,79.5,113.64536,94.94782,94.69806,97.36172,99.38089,92.82669,93.44542,88.234566,85.90393,88.11384,64.15148,33.729362
2025.11.24,50.6,56.516212,44.69665,52.649345,36.874207,54.18944,54.99626,56.90301,51.701843,50.82512,61.988754,57.23828,37.4542
