date,Chla,DNN,DNN_SMOTE,DNN_ADASYN,DNN_SMOTE_ENN,DNN_SMOTE_Tomek,CNN,CNN_SMOTE,CNN_ADASYN,CNN_SMOTE_ENN,CNN_SMOTE_Tomek,RNN,LSTM
2025.01.02,20.7,23.882732,20.259731,25.199501,32.718037,23.11051,34.45226,23.418411,23.331152,20.417225,20.126356,37.778393,25.659288
2025.01.06,28.8,36.235516,27.36538,34.059986,44.26228,32.330452,43.27647,26.107073,21.735136,15.4904995,16.966848,44.955154,20.0496
2025.01.13,19,41.859035,42.614212,48.01535,50.748947,49.015064,53.09888,45.993126,46.77394,42.0484,45.78141,38.66878,10.487973
2025.01.20,26.6,48.351257,41.960518,47.549557,58.73898,51.128807,62.245785,46.927208,43.51596,34.797504,35.20121,43.216625,23.002926
2025.02.03,31.6,62.730476,29.149593,14.473629,9.993611,7.853605,59.620087,46.340096,43.11937,37.40244,35.800667,48.38593,18.863617
2025.02.11,25.5,41.084576,37.89755,53.136738,52.936703,55.169495,74.11569,61.86579,56.635803,52.266693,55.35547,45.357544,12.011683
2025.02.17,19.3,46.059113,52.53723,58.31906,58.760452,53.51864,56.551792,51.1765,51.68306,47.146053,49.55568,41.81272,13.762354
2025.02.24,35.3,51.87542,44.886772,45.54283,54.008476,43.954483,63.426697,52.779625,49.5359,39.33318,42.37285,49.374928,25.565716
2025.03.05,40.9,79.73721,68.2656,62.264973,67.4363,61.029835,69.426346,61.386375,64.9995,72.58063,65.76188,51.618,36.954353
2025.03.10,59.1,72.436455,61.547867,54.967678,64.23817,57.698128,66.46523,57.205044,58.631615,67.362885,62.084747,58.40334,45.686954
2025.03.17,55.6,53.51049,55.309982,52.647667,61.788364,51.172424,46.166683,43.712387,49.163795,61.73637,51.797867,57.968815,38.83959
2025.03.24,85.4,83.77993,79.06061,74.077705,80.471855,71.12592,86.012245,78.438736,84.391045,91.90462,83.992775,66.939224,48.34577
2025.03.31,85.6,110.58488,105.293564,101.14268,113.01565,111.193184,108.78211,93.92767,98.58583,96.891174,98.179,74.83245,55.434486
