 Date,Chla,WT,y_t+1,Chla_t-12,WT_t-12,Chla_t-11,WT_t-11,Chla_t-10,WT_t-10,Chla_t-9,WT_t-9,Chla_t-8,WT_t-8,Chla_t-7,WT_t-7,Chla_t-6,WT_t-6,Chla_t-5,WT_t-5,Chla_t-4,WT_t-4,Chla_t-3,WT_t-3,Chla_t-2,WT_t-2,Chla_t-1,WT_t-1,Chla_t-0,WT_t-0
2012.01.04,25.4,4.1,25.4,,,,,,,,,,,,,,,,,,,,,,,,,25.4,4.1
2012.01.09,25.4,5.9,66.6,,,,,,,,,,,,,,,,,,,,,,,25.4,4.1,25.4,5.9
2012.01.18,66.6,6.1,75.5,,,,,,,,,,,,,,,,,,,,,25.4,4.1,25.4,5.9,66.6,6.1
2012.01.27,75.5,4.3,54.4,,,,,,,,,,,,,,,,,,,25.4,4.1,25.4,5.9,66.6,6.1,75.5,4.3
2012.01.30,54.4,5.9,40.4,,,,,,,,,,,,,,,,,25.4,4.1,25.4,5.9,66.6,6.1,75.5,4.3,54.4,5.9
2012.02.06,40.4,4.7,83.7,,,,,,,,,,,,,,,25.4,4.1,25.4,5.9,66.6,6.1,75.5,4.3,54.4,5.9,40.4,4.7
2012.02.15,83.7,6.6,64.4,,,,,,,,,,,,,25.4,4.1,25.4,5.9,66.6,6.1,75.5,4.3,54.4,5.9,40.4,4.7,83.7,6.6
2012.02.22,64.4,5.5,34.2,,,,,,,,,,,25.4,4.1,25.4,5.9,66.6,6.1,75.5,4.3,54.4,5.9,40.4,4.7,83.7,6.6,64.4,5.5
2012.02.29,34.2,6.6,63.1,,,,,,,,,25.4,4.1,25.4,5.9,66.6,6.1,75.5,4.3,54.4,5.9,40.4,4.7,83.7,6.6,64.4,5.5,34.2,6.6
2012.03.05,63.1,10.5,43.6,,,,,,,25.4,4.1,25.4,5.9,66.6,6.1,75.5,4.3,54.4,5.9,40.4,4.7,83.7,6.6,64.4,5.5,34.2,6.6,63.1,10.5
2012.03.15,43.6,9.6,67.4,,,,,25.4,4.1,25.4,5.9,66.6,6.1,75.5,4.3,54.4,5.9,40.4,4.7,83.7,6.6,64.4,5.5,34.2,6.6,63.1,10.5,43.6,9.6
2012.03.19,67.4,10.3,104,,,25.4,4.1,25.4,5.9,66.6,6.1,75.5,4.3,54.4,5.9,40.4,4.7,83.7,6.6,64.4,5.5,34.2,6.6,63.1,10.5,43.6,9.6,67.4,10.3
2012.03.30,104,14.8,90.3,25.4,4.1,25.4,5.9,66.6,6.1,75.5,4.3,54.4,5.9,40.4,4.7,83.7,6.6,64.4,5.5,34.2,6.6,63.1,10.5,43.6,9.6,67.4,10.3,104,14.8
2012.04.02,90.3,12.8,151.1,25.4,5.9,66.6,6.1,75.5,4.3,54.4,5.9,40.4,4.7,83.7,6.6,64.4,5.5,34.2,6.6,63.1,10.5,43.6,9.6,67.4,10.3,104,14.8,90.3,12.8
2012.04.10,151.1,15.1,74.1,66.6,6.1,75.5,4.3,54.4,5.9,40.4,4.7,83.7,6.6,64.4,5.5,34.2,6.6,63.1,10.5,43.6,9.6,67.4,10.3,104,14.8,90.3,12.8,151.1,15.1
2012.04.18,74.1,19.2,61.3,75.5,4.3,54.4,5.9,40.4,4.7,83.7,6.6,64.4,5.5,34.2,6.6,63.1,10.5,43.6,9.6,67.4,10.3,104,14.8,90.3,12.8,151.1,15.1,74.1,19.2
2012.04.26,61.3,17.2,70.9,54.4,5.9,40.4,4.7,83.7,6.6,64.4,5.5,34.2,6.6,63.1,10.5,43.6,9.6,67.4,10.3,104,14.8,90.3,12.8,151.1,15.1,74.1,19.2,61.3,17.2
