Year, Month, Date,Spot,BOD,COD,TN,TP,TOC,NH3N,NO3N,PO4P,SS,pH,DO,EC,Chla,WT,WL,WS,RF,TI,TD
2012,1,2012.01.04,ав╩Й,4.3,8.3,7.093,0.502,5.8,2.289,4.078,0.383,11.8,7.9,15.5,494,55.4,3,-0.37,0,1.63,0,0
2012,1,2012.01.10,ав╩Й,5.2,8.4,8.106,0.353,5.8,2.95,4.53,0.26,11.7,8.2,16.1,441,62,3.7,-0.73,0,0,0,0
2012,1,2012.01.19,ав╩Й,5.9,10.7,9.733,0.664,6.1,2.588,4.352,0.404,20.1,8.3,16.9,483,135.1,5.9,0.61,0,0.45,0,0
2012,1,2012.01.26,ав╩Й,5.6,11.6,7.38,0.47,6.3,2.567,4.397,0.384,18.5,8.6,16.8,478,113.2,3.1,1.79,0,0.19,0,0
2012,1,2012.01.30,ав╩Й,4.9,10.4,8.035,0.433,6.5,2.522,3.939,0.299,15,8.6,14.3,486,79,4,2.17,0,0,0,0
2012,2,2012.02.07,ав╩Й,7.9,11.5,8.643,0.367,6.7,4.495,3.782,0.225,22,8,15.6,483,75.1,2.8,1.3,0,0.09,0,0
2012,2,2012.02.13,ав╩Й,5.6,10.4,8.943,0.429,7.2,4.421,3.28,0.333,15.7,8.8,16.1,513,60.6,3.7,1.43,16.23,0.04,12.59,0
2012,2,2012.02.23,ав╩Й,7.3,11.4,9.151,0.57,8.3,4.652,2.99,0.347,17.9,7.1,15.1,534,82.8,4.7,1.42,16.14,0,-9.76,0
2012,2,2012.02.29,ав╩Й,6.2,11.2,9.804,0.61,8.4,5.455,2.604,0.434,12.7,8.3,13.2,523,38.4,5.4,1.47,16.62,0,-5.79,0
2012,3,2012.03.06,ав╩Й,7.1,12.7,7.141,0.394,8.8,3.26,2.249,0.152,30.3,7.4,13.3,419,70.1,8.4,-1.17,0,1.05,-62.78,0
2012,3,2012.03.13,ав╩Й,6.7,12.5,6.972,0.319,7.5,2.09,2.448,0.13,22,8.8,15.2,389,129.2,9.4,-0.47,5.26,0,17.55,0
2012,3,2012.03.19,ав╩Й,5.7,12.1,7.901,0.331,7.5,4.093,2.585,0.148,17.9,8.5,14.6,451,105.3,8.8,-0.45,5.34,0.05,0.49,0
2012,3,2012.03.26,ав╩Й,6.2,9.6,7.989,0.261,8.1,4.248,2.433,0.174,19.1,8.3,12.6,430,82.5,8.8,3.19,24.62,0,43.48,0
2012,4,2012.04.04,ав╩Й,5.1,8.5,5.017,0.211,5.3,1.162,2.721,0.098,34,7.4,13.3,222,59.1,11.2,2.57,20.59,0,15.46,0
2012,4,2012.04.12,ав╩Й,5.4,9.6,4.642,0.258,5.5,0.938,2.612,0.039,17.3,8.1,14.5,254,117.8,13.5,3.04,23.33,0,24.62,0
